txtFieldNote,intControl,txtPDFExists,txtFileNo,txtType
118-8-10,1076346,Y,SC 000118:8,C
118-8-11,1076347,Y,SC 000118:8,C
118-8-12,1076348,Y,SC 000118:8,C
118-8-13,1076349,Y,SC 000118:8,C
118-8-14,1076350,Y,SC 000118:8,C
118-8-15,1076351,Y,SC 000118:8,C
118-8-16,1076352,Y,SC 000118:8,C
118-8-17,1076353,Y,SC 000118:8,C
118-8-18,1076354,Y,SC 000118:8,C
118-8-19,1076355,Y,SC 000118:8,C
118-8-2,1076338,Y,SC 000118:8,C
118-8-20,1076356,Y,SC 000118:8,C
118-8-21,1076357,Y,SC 000118:8,C
118-8-22,1076358,Y,SC 000118:8,C
118-8-3,1076339,Y,SC 000118:8,C
118-8-4,1076340,Y,SC 000118:8,C
118-8-5,1076341,Y,SC 000118:8,C
118-8-6,1076342,Y,SC 000118:8,C
118-8-7,1076343,Y,SC 000118:8,C
118-8-8,1076344,Y,SC 000118:8,C
118-8-9,1076345,Y,SC 000118:8,C
118-9-1,1078262,Y,SC 000118:9,C
118-9-10,1076367,Y,SC 000118:9,C
118-9-11,1076368,Y,SC 000118:9,C
118-9-12,1076369,Y,SC 000118:9,C
118-9-13,1076370,Y,SC 000118:9,C
118-9-14,1076371,Y,SC 000118:9,C
118-9-15,1076372,Y,SC 000118:9,C
118-9-16,1076373,Y,SC 000118:9,C
118-9-2,1076359,Y,SC 000118:9,C
118-9-3,1076360,Y,SC 000118:9,C
118-9-4,1076361,Y,SC 000118:9,C
118-9-5,1076362,Y,SC 000118:9,C
118-9-6,1076363,Y,SC 000118:9,C
118-9-7,1076364,Y,SC 000118:9,C
118-9-8,1076365,Y,SC 000118:9,C
118-9-9,1076366,Y,SC 000118:9,C
1-Dec,1028482,y,SC 000009:54,E
11-Dec,1028522,y,SC 000010:29,E
13-Dec,1028542,y,SC 000010:49,E
15-Dec,1028543,y,SC 000010:50,E
17-Dec,1028544,y,SC 000010:51,E
21-Dec,1028546,y,SC 000010:53,E
24-Dec,1028547,y,SC 000010:54,E
26-Dec,1028534,y,SC 000010:41,E
28-Dec,1028548,y,SC 000010:55,E
29-Dec,1029146,y,SC 000022:12,E
3-Dec,1028359,y,SC 000007:50,E
3-Dec,1029059,y,SC 000021:4,E
31-Dec,1028719,y,SC 000013:44,E
Dec-32,1028549,y,SC 000010:56,E
Dec-34,1028539,y,SC 000010:46,E
Dec-35,1028492,y,SC 000009:64,E
Dec-37,1028491,y,SC 000009:63,E
Dec-39,1028485,y,SC 000009:57,E
Dec-42,1028506,y,SC 000010:13,E
Dec-44,1028481,y,SC 000009:53,E
Dec-45,1029043,y,SC 000020:32,E
Dec-47,1028610,y,SC 000011:54,E
Dec-49,1028719,y,SC 000013:44,E
5-Dec,1028635,y,SC 000012:17,E
Dec-52,1028719,y,SC 000013:44,E
Dec-53,1028652,y,SC 000012:34,E
Dec-56,1028613,y,SC 000011:57,E
Dec-58,1028605,y,SC 000011:49,E
Dec-60,1028647,y,SC 000012:29,E
Dec-63,1028693,y,SC 000013:18,E
Dec-64,1028653,y,SC 000012:35,E
Dec-65,1028699,y,SC 000013:24,E
Dec-66,1028681,y,SC 000013:6,E
Dec-67,1028688,y,SC 000013:13,E
7-Dec,1028636,y,SC 000012:18,E
9-Dec,1028455,y,SC 000009:27,E
122-1-1,1078263,Y,SC 000122:1,C
122-1-10,1076378,Y,SC 000122:1,C
122-1-11,1076379,Y,SC 000122:1,C
122-1-5,1076374,Y,SC 000122:1,C
122-1-7,1076375,Y,SC 000122:1,C
122-1-8,1076376,Y,SC 000122:1,C
122-1-9,1076377,Y,SC 000122:1,C
122-10-114,1036637,y,SC 000122:10,C
122-11-117,1078267,Y,SC 000122:11,C
122-11-118,1076407,Y,SC 000122:11,C
122-11-119,1076408,Y,SC 000122:11,C
122-11-121,1076409,Y,SC 000122:11,C
122-11-122,1076410,Y,SC 000122:11,C
122-11-125,1076411,Y,SC 000122:11,C
122-11-126,1076412,Y,SC 000122:11,C
122-11-127,1076413,Y,SC 000122:11,C
122-11-128,1076414,Y,SC 000122:11,C
122-12-131,1034513,Y,SC 000122:12,C
122-13-198,1034514,Y,SC 000122:13,C
122-14-216,1078268,Y,SC 000122:14,C
122-14-217,1076415,Y,SC 000122:14,C
122-14-218,1076416,Y,SC 000122:14,C
122-14-220,1076417,Y,SC 000122:14,C
122-14-221,1076418,Y,SC 000122:14,C
122-15-222,1078269,Y,SC 000122:15,C
122-15-228,1076419,Y,SC 000122:15,C
122-15-229,1076420,Y,SC 000122:15,C
122-15-230,1076421,Y,SC 000122:15,C
122-15-231,1076422,Y,SC 000122:15,C
122-15-232,1076423,Y,SC 000122:15,C
122-15-235,1076424,Y,SC 000122:15,C
122-15-236,1076425,Y,SC 000122:15,C
122-16-238,1078270,Y,SC 000122:16,C
122-16-239,1076427,Y,SC 000122:16,C
122-16-240,1076428,Y,SC 000122:16,C
122-16-242,1076429,Y,SC 000122:16,C
122-16-243,1076430,Y,SC 000122:16,C
122-16-244,1076431,Y,SC 000122:16,C
122-16-245,1076432,Y,SC 000122:16,C
122-17-246,1078271,Y,SC 000122:17,C
122-17-247,1076433,Y,SC 000122:17,C
122-17-249,1076434,Y,SC 000122:17,C
122-17-251,1076435,Y,SC 000122:17,C
122-17-252,1076436,Y,SC 000122:17,C
122-17-253,1076437,Y,SC 000122:17,C
122-17-254,1076438,Y,SC 000122:17,C
122-17-255,1076439,Y,SC 000122:17,C
122-17-256,1076440,Y,SC 000122:17,C
122-17-257,1076441,Y,SC 000122:17,C
122-17-258,1076442,Y,SC 000122:17,C
122-18-260,1078272,Y,SC 000122:18,C
122-18-261,1076443,Y,SC 000122:18,C
122-18-262,1076444,Y,SC 000122:18,C
122-18-263,1076445,Y,SC 000122:18,C
122-18-264,1076446,Y,SC 000122:18,C
122-18-265,1076447,Y,SC 000122:18,C
122-18-266,1076448,Y,SC 000122:18,C
122-18-267,1076449,Y,SC 000122:18,C
122-18-268,1076450,Y,SC 000122:18,C
122-18-269,1076451,Y,SC 000122:18,C
122-18-270,1076452,Y,SC 000122:18,C
122-18-271,1076453,Y,SC 000122:18,C
122-18-272,1076454,Y,SC 000122:18,C
122-18-274,1076455,Y,SC 000122:18,C
122-18-275,1076456,Y,SC 000122:18,C
122-19-276,1034520,Y,SC 000122:19,C
122-2-13,1034504,Y,SC 000122:13,C
122-3-25,1034505,Y,SC 000122:25,C
122-4-29,1078264,Y,SC 000122:4,C
122-5-46,1034507,Y,SC 000122:5,C
122-6-48,1078265,Y,SC 000122:6,C
122-6-49,1076380,Y,SC 000122:6,C
122-7-50,1034509,y,SC 000122:7,C
122-8-96,1034510,y,SC 000122:8,C
122-9-109,1078266,y,SC 000122:9,C
122-9-110,1076405,y,SC 000122:9,C
122-9-113,1076406,y,SC 000122:9,C
123-1-1,1078280,Y,SC 000123:1,C
123-1-10,1076466,Y,SC 000123:1,C
123-1-11,1076467,Y,SC 000123:1,C
123-1-12,1076468,Y,SC 000123:1,C
123-1-14,1076469,Y,SC 000123:1,C
123-1-2,1076457,Y,SC 000123:1,C
123-1-3,1076458,Y,SC 000123:1,C
123-1-4,1076459,Y,SC 000123:1,C
123-1-5,1076460,Y,SC 000123:1,C
123-1-6,1076461,Y,SC 000123:1,C
123-1-7,1076462,Y,SC 000123:1,C
123-1-8,1076463,Y,SC 000123:1,C
123-1-8A,1076464,Y,SC 000123:1,C
123-1-9,1076465,Y,SC 000123:1,C
123-10-119,1078291,Y,SC 000123:10,C
123-10-120,1076564,Y,SC 000123:10,C
123-10-121,1076565,Y,SC 000123:10,C
123-10-122,1076566,Y,SC 000123:10,C
123-10-123,1076567,Y,SC 000123:10,C
123-10-125,1076568,Y,SC 000123:10,C
123-10-126,1076569,Y,SC 000123:10,C
123-10-127,1076570,Y,SC 000123:10,C
123-10-128,1076571,Y,SC 000123:10,C
123-10-130,1076572,Y,SC 000123:10,C
123-10-131,1076573,Y,SC 000123:10,C
123-11-132,1078292,Y,SC 000123:11,C
123-11-135,1076574,Y,SC 000123:11,C
123-11-139,1076575,Y,SC 000123:11,C
123-11-140,1076576,Y,SC 000123:11,C
123-11-142,1076577,Y,SC 000123:11,C
123-13-146,1078293,Y,SC 000123:13,C
123-13-146.5,1076578,Y,SC 000123:13,C
123-13-147,1076579,Y,SC 000123:13,C
123-13-148,1076580,Y,SC 000123:13,C
123-13-149,1076581,Y,SC 000123:13,C
123-13-150,1076582,Y,SC 000123:13,C
123-13-151,1076583,Y,SC 000123:13,C
123-13-152,1076584,Y,SC 000123:13,C
123-14-153,1078294,Y,SC 000123:14,C
123-14-156,1076585,Y,SC 000123:14,C
123-14-157,1076586,Y,SC 000123:14,C
123-14-158,1076587,Y,SC 000123:14,C
123-14-159,1076588,Y,SC 000123:14,C
123-14-160,1076589,Y,SC 000123:14,C
123-14-162,1076590,Y,SC 000123:14,C
123-14-164,1076591,Y,SC 000123:14,C
123-14-165,1076592,Y,SC 000123:14,C
123-2-15,1078281,Y,SC 000123:2,C
123-2-16,1076470,Y,SC 000123:2,C
123-2-17,1076471,Y,SC 000123:2,C
123-2-18,1076472,Y,SC 000123:2,C
123-2-19,1076473,Y,SC 000123:2,C
123-2-20,1076474,Y,SC 000123:2,C
123-2-21,1076475,Y,SC 000123:2,C
123-2-23,1076476,Y,SC 000123:2,C
123-2-24,1076477,Y,SC 000123:2,C
123-2-26,1076478,Y,SC 000123:2,C
123-2-27,1076479,Y,SC 000123:2,C
123-2-28,1076480,Y,SC 000123:2,C
123-2-29,1076481,Y,SC 000123:2,C
123-2-30,1076482,Y,SC 000123:2,C
123-2-31,1076483,Y,SC 000123:2,C
123-2-32,1076484,Y,SC 000123:2,C
123-2-33,1076485,Y,SC 000123:2,C
123-3-34,1078282,Y,SC 000123:3,C
123-3-35,1076486,Y,SC 000123:3,C
123-3-36,1076487,Y,SC 000123:3,C
123-3-37,1076488,Y,SC 000123:3,C
123-3-38,1076489,Y,SC 000123:3,C
123-3-39,1076490,Y,SC 000123:3,C
123-3-40,1076491,Y,SC 000123:3,C
123-3-41,1076493,Y,SC 000123:3,C
123-3-42,1076494,Y,SC 000123:3,C
123-3-43,1076495,Y,SC 000123:3,C
123-3-44,1076496,Y,SC 000123:3,C
123-3-45,1076497,Y,SC 000123:3,C
123-3-46,1076498,Y,SC 000123:3,C
123-4-47,1078283,Y,SC 000123:4,C
123-4-48,1076500,Y,SC 000123:4,C
123-4-49,1076501,Y,SC 000123:4,C
123-4-50,1076502,Y,SC 000123:4,C
123-4-52,1076503,Y,SC 000123:4,C
123-4-53,1076504,Y,SC 000123:4,C
123-4-54,1076505,Y,SC 000123:4,C
123-4-56,1076506,Y,SC 000123:4,C
123-4-57,1076507,Y,SC 000123:4,C
123-4-58,1076508,Y,SC 000123:4,C
123-4-59,1076509,Y,SC 000123:4,C
123-4-60,1076510,Y,SC 000123:4,C
123-4-61,1076511,Y,SC 000123:4,C
123-5-62,1034525,Y,SC 000123:5,C
123-6-63,1076512,Y,SC 000123:6,C
123-6-63_001-002,1078284,Y,SC 000123:6,C
123-6-63A,1076513,Y,SC 000123:6,C
123-6-64,1076514,Y,SC 000123:6,C
123-6-64A,1076515,Y,SC 000123:6,C
123-6-64B,1076516,Y,SC 000123:6,C
123-6-64C,1076517,Y,SC 000123:6,C
123-6-65,1076518,Y,SC 000123:6,C
123-6-65A,1076519,Y,SC 000123:6,C
123-6-65B,1076520,Y,SC 000123:6,C
123-6-66,1076521,Y,SC 000123:6,C
123-6-66A,1076522,Y,SC 000123:6,C
123-6-66B,1076523,Y,SC 000123:6,C
123-6-67,1076524,Y,SC 000123:6,C
123-6-67A,1076525,Y,SC 000123:6,C
123-6-68,1076526,Y,SC 000123:6,C
123-6-68A,1076527,Y,SC 000123:6,C
123-6-68B,1076528,Y,SC 000123:6,C
123-6-68C,1076529,Y,SC 000123:6,C
123-6-69,1076530,Y,SC 000123:6,C
123-6-69A,1076531,Y,SC 000123:6,C
123-6-69B,1076532,Y,SC 000123:6,C
123-7-75,1078285,Y,SC 000123:7,C
123-7-76,1076533,Y,SC 000123:7,C
123-7-77,1076534,Y,SC 000123:7,C
123-7-79,1076535,Y,SC 000123:7,C
123-7-80,1076536,Y,SC 000123:7,C
123-7-81,1076537,Y,SC 000123:7,C
123-7-83,1076538,Y,SC 000123:7,C
123-7-84,1076539,Y,SC 000123:7,C
123-7-85,1076540,Y,SC 000123:7,C
123-7-86,1076541,Y,SC 000123:7,C
123-8-100,1076551,Y,SC 000123:8,C
123-8-101,1076552,Y,SC 000123:8,C
123-8-102,1076553,Y,SC 000123:8,C
123-8-103,1076554,Y,SC 000123:8,C
123-8-89,1078286,Y,SC 000123:8,C
123-8-90,1076542,Y,SC 000123:8,C
123-8-91,1076543,Y,SC 000123:8,C
123-8-92,1076544,Y,SC 000123:8,C
123-8-93,1076545,Y,SC 000123:8,C
123-8-94,1076546,Y,SC 000123:8,C
123-8-95,1076547,Y,SC 000123:8,C
123-8-96,1076548,Y,SC 000123:8,C
123-8-97,1076549,Y,SC 000123:8,C
123-8-98,1076550,Y,SC 000123:8,C
123-9-104,1078287,Y,SC 000123:9,C
123-9-105,1076555,Y,SC 000123:9,C
123-9-108,1076556,Y,SC 000123:9,C
123-9-110,1076557,Y,SC 000123:9,C
123-9-113,1076558,Y,SC 000123:9,C
123-9-114,1076559,Y,SC 000123:9,C
123-9-115,1076560,Y,SC 000123:9,C
123-9-117,1076561,Y,SC 000123:9,C
123-9-118,1076562,Y,SC 000123:9,C
124-1-1,1078295,Y,SC 000124:1,C
124-1-17,1076594,Y,SC 000124:1,C
124-1-21,1076595,Y,SC 000124:1,C
124-1-25,1076596,Y,SC 000124:1,C
124-1-7,1076593,Y,SC 000124:1,C
124-10-277,1078299,Y,SC 000124:10,C
124-10-279,1076622,Y,SC 000124:10,C
124-10-287,1076623,Y,SC 000124:10,C
124-158-1,1076611,Y,SC 000124:158,C
124-21-391,1078300,Y,SC 000124:21,C
124-21-393,1076628,Y,SC 000124:21,C
124-21-395,1076629,Y,SC 000124:21,C
124-21-399,1076630,Y,SC 000124:21,C
124-21-403,1076631,Y,SC 000124:21,C
124-21-405,1076632,Y,SC 000124:21,C
124-21-407,1076633,Y,SC 000124:21,C
124-21-409,1076634,Y,SC 000124:21,C
124-21-413,1076635,Y,SC 000124:21,C
124-21-417,1076636,Y,SC 000124:21,C
124-21-421,1076637,Y,SC 000124:21,C
124-21-423,1076638,Y,SC 000124:21,C
124-22-425,1078301,Y,SC 000124:22,C
124-22-427,1076639,Y,SC 000124:22,C
124-22-431,1076640,Y,SC 000124:22,C
124-22-432,1076641,Y,SC 000124:22,C
124-22-433,1076642,Y,SC 000124:22,C
124-22-435,1076643,Y,SC 000124:22,C
124-22-437,1076644,Y,SC 000124:22,C
124-22-439,1076645,Y,SC 000124:22,C
124-23-451,1078302,Y,SC 000124:23,C
124-23-453,1076646,Y,SC 000124:23,C
124-23-455,1076647,Y,SC 000124:23,C
124-4-101,1076599,Y,SC 000124:4,C
124-4-107,1076600,Y,SC 000124:4,C
124-4-109,1076601,Y,SC 000124:4,C
124-4-111,1076602,Y,SC 000124:4,C
124-4-113,1076603,Y,SC 000124:4,C
124-4-71,1078296,Y,SC 000124:4,C
124-4-95,1076597,Y,SC 000124:4,C
124-4-97,1076598,Y,SC 000124:4,C
124-5-133,1078297,Y,SC 000124:5,C
124-5-135,1076604,Y,SC 000124:5,C
124-5-137,1076605,Y,SC 000124:5,C
124-5-143,1076606,Y,SC 000124:5,C
124-5-147,1076607,Y,SC 000124:5,C
124-5-151,1076608,Y,SC 000124:5,C
124-5-153,1076609,Y,SC 000124:5,C
124-5-155,1076610,Y,SC 000124:5,C
124-5-159,1076612,Y,SC 000124:5,C
124-5-161,1076613,Y,SC 000124:5,C
124-5-163,1076614,Y,SC 000124:5,C
124-5-165,1076615,Y,SC 000124:5,C
124-6-189,1078298,Y,SC 000124:6,C
124-6-193,1076616,Y,SC 000124:6,C
124-6-195,1076617,Y,SC 000124:6,C
124-6-199,1076618,Y,SC 000124:6,C
124-6-205,1076619,Y,SC 000124:6,C
124-6-207,1076620,Y,SC 000124:6,C
124-6-211,1076621,Y,SC 000124:6,C
125-1-1,1078303,Y,SC 000125:1,C
125-1-10,1076652,Y,SC 000125:1,C
125-1-11,1076653,Y,SC 000125:1,C
125-1-12,1076654,Y,SC 000125:1,C
125-1-15,1076655,Y,SC 000125:1,C
125-1-3,1076648,Y,SC 000125:1,C
125-1-5,1076649,Y,SC 000125:1,C
125-1-7,1076650,Y,SC 000125:1,C
125-1-8,1076651,Y,SC 000125:1,C
125-10-112,1078311,Y,SC 000125:10,C
125-10-114,1076726,Y,SC 000125:10,C
125-10-115,1076727,Y,SC 000125:10,C
125-10-116,1076728,Y,SC 000125:10,C
125-10-117,1076729,Y,SC 000125:10,C
125-10-118,1076731,Y,SC 000125:10,C
125-10-119,1076732,Y,SC 000125:10,C
125-10-120,1076733,Y,SC 000125:10,C
125-10-121,1076734,Y,SC 000125:10,C
125-10-122,1076736,Y,SC 000125:10,C
125-10-123,1076738,Y,SC 000125:10,C
125-10-124,1076739,Y,SC 000125:10,C
125-11-126,1078312,Y,SC 000125:11,C
125-11-127,1076740,Y,SC 000125:11,C
125-11-129,1076741,Y,SC 000125:11,C
125-11-130,1076742,Y,SC 000125:11,C
125-11-131,1076743,Y,SC 000125:11,C
125-11-132,1076744,Y,SC 000125:11,C
125-11-136,1076745,Y,SC 000125:11,C
125-11-137,1076746,Y,SC 000125:11,C
125-11-138,1076747,Y,SC 000125:11,C
125-11-139,1076748,Y,SC 000125:11,C
125-11-140,1078249,Y,SC 000125:11,C
125-12-141,1078313,Y,SC 000125:12,C
125-12-146,1076749,Y,SC 000125:12,C
125-12-148,1076750,Y,SC 000125:12,C
125-12-149,1076751,Y,SC 000125:12,C
125-12-150,1076752,Y,SC 000125:12,C
125-12-153,1076753,Y,SC 000125:12,C
125-12-154,1076754,Y,SC 000125:12,C
125-12-155,1076755,Y,SC 000125:12,C
125-12-156,1076756,Y,SC 000125:12,C
125-12-157,1076757,Y,SC 000125:12,C
125-12-158,1076758,Y,SC 000125:12,C
125-13-160,1078314,Y,SC 000125:13,C
125-13-161,1076759,Y,SC 000125:13,C
125-13-162,1076760,Y,SC 000125:13,C
125-13-163,1076761,Y,SC 000125:13,C
125-13-164,1076762,Y,SC 000125:13,C
125-13-165,1076763,Y,SC 000125:13,C
125-13-166,1076771,Y,SC 000125:13,C
125-13-167,1076772,Y,SC 000125:13,C
125-13-171,1076773,Y,SC 000125:13,C
125-13-173,1076774,Y,SC 000125:13,C
125-14-176,1078315,Y,SC 000125:14,C
125-14-178,1076775,Y,SC 000125:14,C
125-14-180,1076776,Y,SC 000125:14,C
125-14-183,1076777,Y,SC 000125:14,C
125-14-184,1076778,Y,SC 000125:14,C
125-15-185,1078316,Y,SC 000125:15,C
125-15-187,1076779,Y,SC 000125:15,C
125-15-188,1076780,Y,SC 000125:15,C
125-15-190,1076781,Y,SC 000125:15,C
125-15-191,1076782,Y,SC 000125:15,C
125-16-192,1078317,Y,SC 000125:16,C
125-16-194,1076783,Y,SC 000125:16,C
125-16-195,1076784,Y,SC 000125:16,C
125-18-199,1078318,Y,SC 000125:18,C
125-18-200,1076785,Y,SC 000125:18,C
125-18-201,1076786,Y,SC 000125:18,C
125-18-202,1076787,Y,SC 000125:18,C
125-18-203,1076788,Y,SC 000125:18,C
125-18-204,1080051,Y,SC 000125:18,C
125-18-205,1076789,Y,SC 000125:18,C
125-18-207,1076790,Y,SC 000125:18,C
125-18-209,1076791,Y,SC 000125:18,C
125-18-210,1076792,Y,SC 000125:18,C
125-18-211,1076793,Y,SC 000125:18,C
125-18-214,1076794,Y,SC 000125:18,C
125-19-215,1076795,Y,SC 000125:19,C
125-19-216,1076796,Y,SC 000125:19,C
125-19-217,1076797,Y,SC 000125:19,C
125-19-218,1076798,Y,SC 000125:19,C
125-19-219,1076799,Y,SC 000125:19,C
125-19-220,1076800,Y,SC 000125:19,C
125-19-221,1076801,Y,SC 000125:19,C
125-19-222,1076802,Y,SC 000125:19,C
125-19-223,1076803,Y,SC 000125:19,C
125-19-224,1076804,Y,SC 000125:19,C
125-19-225,1076805,Y,SC 000125:19,C
125-19-226,1076806,Y,SC 000125:19,C
125-19-228,1076807,Y,SC 000125:19,C
125-19-229,1076808,Y,SC 000125:19,C
125-19-230,1076809,Y,SC 000125:19,C
125-2-16,1078304,Y,SC 000125:2,C
125-2-17,1076656,Y,SC 000125:2,C
125-2-18,1076657,Y,SC 000125:2,C
125-2-19,1076658,Y,SC 000125:2,C
125-2-20,1076659,Y,SC 000125:2,C
125-2-21,1076660,Y,SC 000125:2,C
125-2-22,1076661,Y,SC 000125:2,C
125-2-25,1076662,Y,SC 000125:2,C
125-2-26,1076663,Y,SC 000125:2,C
125-2-27,1076664,Y,SC 000125:2,C
125-2-28,1076665,Y,SC 000125:2,C
125-2-29,1076666,Y,SC 000125:2,C
125-2-30,1076667,Y,SC 000125:2,C
125-20-231,1078319,Y,SC 000125:20,C
125-20-232,1076810,Y,SC 000125:20,C
125-20-233,1076811,Y,SC 000125:20,C
125-20-234,1076812,Y,SC 000125:20,C
125-20-235,1076813,Y,SC 000125:20,C
125-20-237,1076814,Y,SC 000125:20,C
125-20-238,1076815,Y,SC 000125:20,C
125-20-239,1076816,Y,SC 000125:20,C
125-20-241,1076817,Y,SC 000125:20,C
125-20-242,1076818,Y,SC 000125:20,C
125-20-243,1076819,Y,SC 000125:20,C
125-20-244,1076820,Y,SC 000125:20,C
125-21-245,1078320,Y,SC 000125:21,C
125-21-246,1076821,Y,SC 000125:21,C
125-21-250,1076822,Y,SC 000125:21,C
125-21-251,1076823,Y,SC 000125:21,C
125-21-252,1076824,Y,SC 000125:21,C
125-21-253,1076825,Y,SC 000125:21,C
125-21-254,1076826,Y,SC 000125:21,C
125-21-255,1076827,Y,SC 000125:21,C
125-21-257,1076828,Y,SC 000125:21,C
125-21-259,1076829,Y,SC 000125:21,C
125-21-260,1076830,Y,SC 000125:21,C
125-22-261,1078321,Y,SC 000125:22,C
125-22-262,1076831,Y,SC 000125:22,C
125-22-264,1076832,Y,SC 000125:22,C
125-22-265,1076833,Y,SC 000125:22,C
125-22-267,1076834,Y,SC 000125:22,C
125-22-269,1076835,Y,SC 000125:22,C
125-22-271,1076836,Y,SC 000125:22,C
125-22-272,1076837,Y,SC 000125:22,C
125-22-273,1076838,Y,SC 000125:22,C
125-22-274,1076839,Y,SC 000125:22,C
125-22-275,1076840,Y,SC 000125:22,C
125-23-277,1078322,Y,SC 000125:23,C
125-23-278,1076841,Y,SC 000125:23,C
125-23-280,1076842,Y,SC 000125:23,C
125-23-281,1076843,Y,SC 000125:23,C
125-23-285,1076844,Y,SC 000125:23,C
125-3-31,1078305,Y,SC 000125:3,C
125-3-33,1076668,Y,SC 000125:3,C
125-3-34,1076669,Y,SC 000125:3,C
125-3-35,1076670,Y,SC 000125:3,C
125-3-36,1076671,Y,SC 000125:3,C
125-3-37,1076672,Y,SC 000125:3,C
125-3-38,1076673,Y,SC 000125:3,C
125-3-39,1076674,Y,SC 000125:3,C
125-3-40,1076675,Y,SC 000125:3,C
125-3-41,1076676,Y,SC 000125:3,C
125-3-42,1076677,Y,SC 000125:3,C
125-3-44,1076678,Y,SC 000125:3,C
125-5-50,1078306,Y,SC 000125:5,C
125-5-51,1076679,Y,SC 000125:5,C
125-5-52,1076680,Y,SC 000125:5,C
125-6-56,1078307,Y,SC 000125:6,C
125-6-57,1076681,Y,SC 000125:6,C
125-6-58,1076682,Y,SC 000125:6,C
125-6-59,1076683,Y,SC 000125:6,C
125-6-60,1076684,Y,SC 000125:6,C
125-6-61,1076685,Y,SC 000125:6,C
125-6-62,1076686,Y,SC 000125:6,C
125-6-63,1076687,Y,SC 000125:6,C
125-6-64,1076688,Y,SC 000125:6,C
125-6-65,1076689,Y,SC 000125:6,C
125-6-66,1076690,Y,SC 000125:6,C
125-6-67,1076691,Y,SC 000125:6,C
125-7-68,1078308,Y,SC 000125:7,C
125-7-69,1076692,Y,SC 000125:7,C
125-7-70,1076693,Y,SC 000125:7,C
125-7-71,1076694,Y,SC 000125:7,C
125-7-72,1076695,Y,SC 000125:7,C
125-7-73,1076696,Y,SC 000125:7,C
125-7-74,1076697,Y,SC 000125:7,C
125-7-75,1076698,Y,SC 000125:7,C
125-7-76,1076699,Y,SC 000125:7,C
125-7-77,1076700,Y,SC 000125:7,C
125-7-78,1076701,Y,SC 000125:7,C
125-8-79,1078309,Y,SC 000125:8,C
125-8-80,1076702,Y,SC 000125:8,C
125-8-82,1076703,Y,SC 000125:8,C
125-8-83,1076704,Y,SC 000125:8,C
125-8-86,1076705,Y,SC 000125:8,C
125-8-87,1076706,Y,SC 000125:8,C
125-8-88,1076707,Y,SC 000125:8,C
125-8-89,1076708,Y,SC 000125:8,C
125-8-90,1076709,Y,SC 000125:8,C
125-8-91,1076710,Y,SC 000125:8,C
125-8-92,1076711,Y,SC 000125:8,C
125-8-93,1076712,Y,SC 000125:8,C
125-8-94,1076713,Y,SC 000125:8,C
125-8-95,1078250,Y,SC 000125:8,C
125-8-96,1076714,Y,SC 000125:8,C
125-9-101,1076716,Y,SC 000125:9,C
125-9-102,1076717,Y,SC 000125:9,C
125-9-103,1076718,Y,SC 000125:9,C
125-9-104,1076719,Y,SC 000125:9,C
125-9-105,1076720,Y,SC 000125:9,C
125-9-106,1076721,Y,SC 000125:9,C
125-9-107,1076722,Y,SC 000125:9,C
125-9-109,1076723,Y,SC 000125:9,C
125-9-110,1076724,Y,SC 000125:9,C
125-9-111,1076725,Y,SC 000125:9,C
125-9-97,1078310,Y,SC 000125:9,C
125-9-99,1076715,Y,SC 000125:9,C
126-1-1,1078323,Y,SC 000126:1,C
126-1-2,1076845,Y,SC 000126:1,C
126-1-3,1076846,Y,SC 000126:1,C
126-1-5,1076847,Y,SC 000126:1,C
126-1-6,1076848,Y,SC 000126:1,C
126-10-105,1078330,Y,SC 000126:10,C
126-10-107,1076894,Y,SC 000126:10,C
126-10-109,1076895,Y,SC 000126:10,C
126-10-111,1076896,Y,SC 000126:10,C
126-10-112,1076897,Y,SC 000126:10,C
126-10-113,1076898,Y,SC 000126:10,C
126-11-114,1078331,Y,SC 000126:11,C
126-11-118,1076899,Y,SC 000126:11,C
126-11-120,1076900,Y,SC 000126:11,C
126-11-122,1076901,Y,SC 000126:11,C
126-11-123,1076902,Y,SC 000126:11,C
126-11-124,1076903,Y,SC 000126:11,C
126-11-126,1076904,Y,SC 000126:11,C
126-11-128,1076905,Y,SC 000126:11,C
126-12-129,1078332,Y,SC 000126:12,C
126-12-130,1076906,Y,SC 000126:12,C
126-12-131,1076907,Y,SC 000126:12,C
126-12-133,1076908,Y,SC 000126:12,C
126-12-134,1076909,Y,SC 000126:12,C
126-12-137,1076910,Y,SC 000126:12,C
126-12-139,1076911,Y,SC 000126:12,C
126-12-140,1076912,Y,SC 000126:12,C
126-12-141,1076913,Y,SC 000126:12,C
126-13-142,1078333,Y,SC 000126:13,C
126-13-144,1076914,Y,SC 000126:13,C
126-13-145,1076915,Y,SC 000126:13,C
126-13-146,1076916,Y,SC 000126:13,C
126-13-147,1076917,Y,SC 000126:13,C
126-13-148,1076918,Y,SC 000126:13,C
126-13-150,1076920,Y,SC 000126:13,C
126-13-151,1076921,Y,SC 000126:13,C
126-13-152,1076922,Y,SC 000126:13,C
126-14-153,1078334,Y,SC 000126:14,C
126-14-154,1076923,Y,SC 000126:14,C
126-14-155,1076924,Y,SC 000126:14,C
126-14-156,1076925,Y,SC 000126:14,C
126-14-157,1076926,Y,SC 000126:14,C
126-14-158,1076927,Y,SC 000126:14,C
